numero_asociado,ramo_industrial,clave_del_producto,estado,fecha_factura
105300,M4,CAS012002,Pendiente,
105300,M4,CAS012003,Pendiente,
105300,M4,CAS012004,Pendiente,
105300,M4,CAS012005,Pendiente,
105300,M4,CAS012006,Pendiente,
105301,M4,CAS011995,Pendiente,
105301,M4,CAS011996,Pendiente,
105301,M4,CAS011997,Pendiente,
105301,M4,CAS011998,Pendiente,
105301,M4,CAS011999,Pendiente,
105301,M4,CAS012000,Pendiente,
105301,M4,CAS012001,Pendiente,
105301,M4,CAS012002,Pendiente,
105301,M4,CAS012003,Pendiente,
105301,M4,CAS012004,Pendiente,
105301,M4,CAS012005,Pendiente,
105301,M4,CAS012006,Pendiente,
105302,M4,CAS011999,Pendiente,
105302,M4,CAS012000,Pendiente,
105302,M4,CAS012001,Pendiente,
105302,M4,CAS012002,Pendiente,
105302,M4,CAS012003,Pendiente,
105302,M4,CAS012004,Pendiente,
105302,M4,CAS012005,Pendiente,
105302,M4,CAS012006,Pendiente,
105302,M4,CAS012007,Pendiente,
105303,M4,CAS012001,Pendiente,
105303,M4,CAS012002,Pendiente,
105303,M4,CAS012003,Pendiente,
105303,M4,CAS012004,Pendiente,
105303,M4,CAS012005,Pendiente,
105303,M4,CAS012006,Pendiente,
105305,M4,CAS012001,Pendiente,
105305,M4,CAS012002,Pendiente,
105305,M4,CAS012003,Pendiente,
105305,M4,CAS012004,Pendiente,
105305,M4,CAS012005,Pendiente,
105305,M4,CAS012006,Pendiente,
105307,M4,CAS012001,Pendiente,
105307,M4,CAS012002,Pendiente,
105307,M4,CAS012003,Pendiente,
105307,M4,CAS012004,Pendiente,
105307,M4,CAS012005,Pendiente,
105307,M4,CAS012006,Pendiente,
105307,M4,CAS012007,Pendiente,
105311,M1,CAS012001,Pendiente,
105311,M1,CAS012002,Pendiente,
105311,M1,CAS012003,Pendiente,
105311,M1,CAS012004,Pendiente,
105311,M1,CAS012005,Pendiente,
105311,M1,CAS012006,Pendiente,
105312,M2,CAS012006,Pendiente,
105312,M2,CAS012007,Pendiente,
105312,M2,CAS022006,Pendiente,
105312,M2,CAS022007,Pendiente,
105314,M8,CAS012003,Pendiente,
105314,M8,CAS012004,Pendiente,
105314,M8,CAS012005,Pendiente,
105314,M8,CAS012006,Pendiente,
105315,M4,CAS011996,Pendiente,
105315,M4,CAS011997,Pendiente,
105315,M4,CAS011998,Pendiente,
105315,M4,CAS011999,Pendiente,
105315,M4,CAS012000,Pendiente,
105315,M4,CAS012001,Pendiente,
105315,M4,CAS012002,Pendiente,
105315,M4,CAS012003,Pendiente,
105315,M4,CAS012004,Pendiente,
105315,M4,CAS012005,Pendiente,
105315,M4,CAS012006,Pendiente,
105316,M1,CAS011995,Pendiente,
105316,M1,CAS011996,Pendiente,
105316,M1,CAS011997,Pendiente,
105316,M1,CAS011998,Pendiente,
105316,M1,CAS011999,Pendiente,
105316,M1,CAS012000,Pendiente,
105316,M1,CAS012001,Pendiente,
105316,M1,CAS012002,Pendiente,
105316,M1,CAS012003,Pendiente,
105316,M1,CAS012004,Pendiente,
105316,M1,CAS012005,Pendiente,
105316,M1,CAS012006,Pendiente,
105316,M1,CAS012007,Pendiente,
105319,M2,CAS011992,Pendiente,
105319,M2,CAS011995,Pendiente,
105319,M2,CAS011997,Pendiente,
105319,M2,CAS011998,Pendiente,
105319,M2,CAS011999,Pendiente,
105319,M2,CAS012000,Pendiente,
105319,M2,CAS012001,Pendiente,
105320,M7,CAS012001,Pendiente,
105320,M7,CAS012002,Pendiente,
105320,M7,CAS012003,Pendiente,
105320,M7,CAS012004,Pendiente,
105320,M7,CAS012005,Pendiente,
105320,M7,CAS012006,Pendiente,
105320,M7,CAS012007,Pendiente,
105322,M1,CAS011995,Pendiente,
105322,M1,CAS011996,Pendiente,
105322,M1,CAS011997,Pendiente,
105322,M1,CAS011998,Pendiente,
105322,M1,CAS011999,Pendiente,
105322,M1,CAS012001,Pendiente,
105322,M1,CAS012002,Pendiente,
105322,M1,CAS012003,Pendiente,
105322,M1,CAS012004,Pendiente,
105322,M1,CAS012005,Pendiente,
105322,M1,CAS012006,Pendiente,
105323,M7,CAS011995,Pendiente,
105323,M7,CAS011996,Pendiente,
105323,M7,CAS011997,Pendiente,
105323,M7,CAS011998,Pendiente,
105323,M7,CAS012001,Pendiente,
105323,M7,CAS012002,Pendiente,
105323,M7,CAS012003,Pendiente,
105323,M7,CAS012004,Pendiente,
105323,M7,CAS012005,Pendiente,
105323,M7,CAS012006,Pendiente,
105325,M2,CAS012001,Pendiente,
105325,M2,CAS012002,Pendiente,
105325,M2,CAS012003,Pendiente,
105325,M2,CAS012004,Pendiente,
105325,M2,CAS012005,Pendiente,
105325,M2,CAS012006,Pendiente,
105326,M4,CAS012001,Pendiente,
105326,M4,CAS012002,Pendiente,
105326,M4,CAS012003,Pendiente,
105326,M4,CAS012004,Pendiente,
105326,M4,CAS012005,Pendiente,
105326,M4,CAS012006,Pendiente,
105326,M4,CAS012007,Pendiente,
105327,C5,CAS011998,Pendiente,
105327,C5,CAS011999,Pendiente,
105327,C5,CAS012000,Pendiente,
105327,C5,CAS012001,Pendiente,
105327,C5,CAS012002,Pendiente,
105327,C5,CAS012003,Pendiente,
105327,C5,CAS012004,Pendiente,
105327,C5,CAS012005,Pendiente,
105327,C5,CAS012006,Pendiente,
105327,C5,CAS012007,Pendiente,
105328,M1,CAS012001,Pendiente,
105328,M1,CAS012002,Pendiente,
105328,M1,CAS012003,Pendiente,
105328,M1,CAS012004,Pendiente,
105328,M1,CAS012005,Pendiente,
105328,M1,CAS012006,Pendiente,
105330,M2,CAS011992,Pendiente,
105330,M2,CAS011995,Pendiente,
105330,M2,CAS011997,Pendiente,
105330,M2,CAS011998,Pendiente,
105330,M2,CAS012001,Pendiente,
105330,M2,CAS012002,Pendiente,
105330,M2,CAS012003,Pendiente,
105330,M2,CAS012004,Pendiente,
105331,M2,CAS011996,Pendiente,
105331,M2,CAS011997,Pendiente,
105331,M2,CAS011998,Pendiente,
105331,M2,CAS011999,Pendiente,
105331,M2,CAS012000,Pendiente,
105331,M2,CAS012001,Pendiente,
105331,M2,CAS012002,Pendiente,
105331,M2,CAS012003,Pendiente,
105331,M2,CAS012004,Pendiente,
105331,M2,CAS012005,Pendiente,
105331,M2,CAS012006,Pendiente,
105335,M4,CAS011999,Pendiente,
105335,M4,CAS012000,Pendiente,
105335,M4,CAS012001,Pendiente,
105335,M4,CAS012002,Pendiente,
105335,M4,CAS012003,Pendiente,
105335,M4,CAS012004,Pendiente,
105335,M4,CAS012005,Pendiente,
105335,M4,CAS012006,Pendiente,
105335,M4,CAS012007,Pendiente,
105337,M5,CAS011994,Pendiente,
105337,M5,CAS011995,Pendiente,
105337,M5,CAS011996,Pendiente,
105337,M5,CAS011997,Pendiente,
105337,M5,CAS011998,Pendiente,
105337,M5,CAS011999,Pendiente,
105337,M5,CAS012000,Pendiente,
105337,M5,CAS012001,Pendiente,
105339,M4,CAS012001,Pendiente,
105339,M4,CAS012002,Pendiente,
105339,M4,CAS012003,Pendiente,
105339,M4,CAS012004,Pendiente,
105339,M4,CAS012005,Pendiente,
105339,M4,CAS012006,Pendiente,
105339,M4,CAS012007,Pendiente,
105340,M1,CAS011996,Pendiente,
105340,M1,CAS011997,Pendiente,
105340,M1,CAS011998,Pendiente,
105340,M1,CAS011999,Pendiente,
105340,M1,CAS012000,Pendiente,
105340,M1,CAS012001,Pendiente,
105340,M1,CAS012002,Pendiente,
